# Characters restricted in domain names
# $Revision: 1.32 $
# $Date: 2010-06-19 00:29:21 $
#
# This file contains a draft list of characters for use in
#     UTR #36: Unicode Security Considerations
#     http://unicode.org/draft/reports/tr36/tr36.html
# According to the recommendations in that document, these characters
# would be restricted in domain names: people would only be able to use them
# by using lenient security settings.
#
# If you have any feedback on this list, please use the submission form at:
#     http://unicode.org/reporting.html.
#
# Notes:
# - Characters are listed along with a reason for their removal.
# - Characters listed as ~IDNA are excluded at this point in domain names,
#   in many cases because the international domain name specification does not contain
#   characters beyond Unicode 3.2. At this point in time, feedback on those characters
#   is not relevant.
# - Characters listed as ~Unicode Identifiers are restricted because they
#   do not fit the specification of identifiers given in
#      UAX #31: Identifier and Pattern Syntax
#      http://unicode.org/reports/tr31/
# - Characters listed as ~IICore are restricted because they are Ideographic,
#   but not part of the IICore set defined by the IRG as the minimal set
#   of required ideographs for East Asian use.
# - The files in this directory are 'live', and may change at any time.
#   Please include the above Revision number in your feedback.

0162          ; allowed ; recommended #      (Ţ)  LATIN CAPITAL LETTER T WITH CEDILLA
0163          ; allowed ; recommended #      (ţ)  LATIN SMALL LETTER T WITH CEDILLA
0164          ; allowed ; recommended #      (Ť)  LATIN CAPITAL LETTER T WITH CARON
0165          ; allowed ; recommended #      (ť)  LATIN SMALL LETTER T WITH CARON
0166          ; allowed ; recommended #      (Ŧ)  LATIN CAPITAL LETTER T WITH STROKE
0167          ; allowed ; recommended #      (ŧ)  LATIN SMALL LETTER T WITH STROKE
0168          ; allowed ; recommended #      (Ũ)  LATIN CAPITAL LETTER U WITH TILDE
0169          ; allowed ; recommended #      (ũ)  LATIN SMALL LETTER U WITH TILDE
016A          ; allowed ; recommended #      (Ū)  LATIN CAPITAL LETTER U WITH MACRON
016B          ; allowed ; recommended #      (ū)  LATIN SMALL LETTER U WITH MACRON
016C          ; allowed ; recommended #      (Ŭ)  LATIN CAPITAL LETTER U WITH BREVE
016D          ; allowed ; recommended #      (ŭ)  LATIN SMALL LETTER U WITH BREVE
016E          ; allowed ; recommended #      (Ů)  LATIN CAPITAL LETTER U WITH RING ABOVE
016F          ; allowed ; recommended #      (ů)  LATIN SMALL LETTER U WITH RING ABOVE
0170          ; allowed ; recommended #      (Ű)  LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0171          ; allowed ; recommended #      (ű)  LATIN SMALL LETTER U WITH DOUBLE ACUTE
0172          ; allowed ; recommended #      (Ų)  LATIN CAPITAL LETTER U WITH OGONEK
0173          ; allowed ; recommended #      (ų)  LATIN SMALL LETTER U WITH OGONEK
0174          ; allowed ; recommended #      (Ŵ)  LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0175          ; allowed ; recommended #      (ŵ)  LATIN SMALL LETTER W WITH CIRCUMFLEX
0176          ; allowed ; recommended #      (Ŷ)  LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0177          ; allowed ; recommended #      (ŷ)  LATIN SMALL LETTER Y WITH CIRCUMFLEX
0178..0179    ; allowed ; recommended #  [2] (Ÿ..Ź)  LATIN CAPITAL LETTER Y WITH DIAERESIS..LATIN CAPITAL LETTER Z WITH ACUTE
017A          ; allowed ; recommended #      (ź)  LATIN SMALL LETTER Z WITH ACUTE
017B          ; allowed ; recommended #      (Ż)  LATIN CAPITAL LETTER Z WITH DOT ABOVE
