#Code	Version	Default	Labels	Char	Names
U+1F30E	V6.0	emoji	astronomy	🌎	EARTH GLOBE AMERICAS
U+1F30F	V6.0	emoji	astronomy	🌏	EARTH GLOBE ASIA-AUSTRALIA
U+1F310	V6.0	emoji	astronomy	🌐	GLOBE WITH MERIDIANS
U+1F311	V6.0	emoji	astronomy	🌑	NEW MOON SYMBOL
U+1F312	V6.0	emoji	astronomy	🌒	WAXING CRESCENT MOON SYMBOL
U+1F313	V6.0	emoji	astronomy	🌓	FIRST QUARTER MOON SYMBOL
U+1F314	V6.0	emoji	astronomy	🌔	WAXING GIBBOUS MOON SYMBOL
U+1F315	V6.0	emoji	astronomy	🌕	FULL MOON SYMBOL
U+1F316	V6.0	emoji	astronomy	🌖	WANING GIBBOUS MOON SYMBOL
U+1F317	V6.0	emoji	astronomy	🌗	LAST QUARTER MOON SYMBOL
U+1F318	V6.0	emoji	astronomy	🌘	WANING CRESCENT MOON SYMBOL
U+1F319	V6.0	emoji	astronomy	🌙	CRESCENT MOON
U+1F31A	V6.0	emoji	astronomy	🌚	NEW MOON WITH FACE
U+1F31B	V6.0	emoji	astronomy	🌛	FIRST QUARTER MOON WITH FACE
U+1F31C	V6.0	emoji	astronomy	🌜	LAST QUARTER MOON WITH FACE
U+1F31D	V6.0	emoji	astronomy	🌝	FULL MOON WITH FACE
U+1F31E	V6.0	emoji	astronomy	🌞	SUN WITH FACE
U+1F31F	V6.0	emoji	astronomy	🌟	GLOWING STAR
U+1F320	V6.0	emoji	astronomy	🌠	SHOOTING STAR
U+1F330	V6.0	emoji	nature	🌰	CHESTNUT
U+1F331	V6.0	emoji	nature	🌱	SEEDLING
U+1F332	V6.0	emoji	nature	🌲	EVERGREEN TREE
U+1F333	V6.0	emoji	nature	🌳	DECIDUOUS TREE
U+1F334	V6.0	emoji	nature	🌴	PALM TREE
U+1F335	V6.0	emoji	nature	🌵	CACTUS
U+1F337	V6.0	emoji	nature	🌷	TULIP
U+1F338	V6.0	emoji	nature	🌸	CHERRY BLOSSOM
U+1F339	V6.0	emoji	nature	🌹	ROSE
U+1F33A	V6.0	emoji	nature	🌺	HIBISCUS
U+1F33B	V6.0	emoji	nature	🌻	SUNFLOWER
U+1F33C	V6.0	emoji	nature	🌼	BLOSSOM
U+1F33D	V6.0	emoji	nature	🌽	EAR OF MAIZE
U+1F33E	V6.0	emoji	nature	🌾	EAR OF RICE
U+1F33F	V6.0	emoji	nature	🌿	HERB
U+1F340	V6.0	emoji	nature	🍀	FOUR LEAF CLOVER
U+1F341	V6.0	emoji	nature	🍁	MAPLE LEAF
U+1F342	V6.0	emoji	nature	🍂	FALLEN LEAF
U+1F343	V6.0	emoji	nature	🍃	LEAF FLUTTERING IN WIND
U+1F344	V6.0	emoji	nature	🍄	MUSHROOM
U+1F345	V6.0	emoji	nature	🍅	TOMATO
U+1F346	V6.0	emoji	nature	🍆	AUBERGINE
U+1F347	V6.0	emoji	nature	🍇	GRAPES
U+1F348	V6.0	emoji	nature	🍈	MELON
U+1F349	V6.0	emoji	nature	🍉	WATERMELON
U+1F34A	V6.0	emoji	nature	🍊	TANGERINE
U+1F34B	V6.0	emoji	nature	🍋	LEMON
U+1F34C	V6.0	emoji	nature	🍌	BANANA
U+1F34D	V6.0	emoji	nature	🍍	PINEAPPLE
