5F52	guī(93)
5F53	dāng(2483) dàng(474) dang(40)
5F55	lù(143)
5F62	xíng(1016) xing(101)
5F69	cǎi(128) cai(10)
5F71	yǐng(854)
5F79	yì(123)
5F7B	chè(257)
5F7C	bǐ(60)
5F80	wǎng(856) wàng(427)
5F81	zhēng(192)
5F84	jìng(69)
5F85	dài(342)
5F88	hěn(3637)
5F8A	huái(17)
5F8B	lǜ(439)
5F90	xú(26)
5F91	jìng(69)
5F92	tú(161)
5F97	de(5096) dé(1496) děi(637)
5F98	pái(17)
5F9E	cóng(3708) cōng(25)
5FA1	yù(42)
5FAA	xún(32)
5FAE	wēi(511)
5FB7	dé(97)
5FB9	chè(257)
5FC3	xīn(3357) xin(11)
5FC5	bì(1102)
5FC6	yì(110)
5FCD	rěn(189)
5FD7	zhì(2082)
5FD8	wàng(312)
5FD9	máng(686)
5FE0	zhōng(27)
5FE7	yōu(23)
5FEB	kuài(1536) kuai(77)
5FF1	chén(12)
5FF5	niàn(447)
5FFD	hū(535)
5FFF	fèn(97)
6000	huái(281)
6001	tài(381)
600E	zěn(2090)
6012	nù(167)
6014	zhēng(15)
6015	pà(866)
6016	bù(32)
601C	lián(111)
601D	sī(1305) si(331)
6025	jí(621)
6026	pēng(24)
6027	xìng(1374) xing(11)
6028	yuàn(34) yuan(13)
602A	guài(410)
602F	qiè(18)
603B	zǒng(1599)
6046	héng(40)
604B	liàn(11)
604D	huǎng(24)
6050	kǒng(109)
6052	héng(40)
6062	huī(111)
6065	chǐ(36)
6068	hèn(131)
606F	xi(392) xī(105)
6070	qià(123)
6073	kěn(64)
6076	è(157) wù(40)
607C	nǎo(27)
6084	qiāo(218)
6085	yuè(23)
6089	xī(111)
6094	huǐ(39)
609F	wù(69)
60A0	yōu(14)
60A3	huàn(53)
60A6	yuè(23)
60A8	nín(1593)
60AC	xuán(52)
60B2	bēi(127)
60B6	mèn(46) mēn(29)
60BC	dào(11)
60C5	qíng(1700) qing(491)
60CA	jīng(425)
60CB	wǎn(14)
60D1	huò(12) huo(11)
60D5	tì(16)
60DA	hū(12)
60DC	xī(115)
60DF	wéi(123)
60E1	è(157) wù(40)
60E6	diàn(11)
60E7	jù(16)
60E8	cǎn(51)
60E9	chéng(15)
60ED	cán(24)
60EF	guàn(145)
60F1	nǎo(27)
60F3	xiǎng(4640)
60F6	huáng(13)
60F9	rě(49)
6101	chóu(48)
6108	yù(139)
6109	yú(74)
610F	yì(2098) yi(450)
6115	è(14)
611A	yú(8)
611B	ài(1137)
611F	gǎn(978)
6123	lèng(58)
6124	fèn(159)
6127	kuì(37)
613F	yuàn(525)
6148	cí(20)
614B	tài(381)
614C	huāng(153) huang(15)
614E	shèn(38)
6155	mù(24)
6158	cǎn(51)
615A	cán(24)
6162	màn(417)
6163	guàn(145)
6167	huì(40)
6168	kǎi(33)
616E	lǜ(125)
6170	wèi(70)
6176	qìng(51)
6177	kāng(13)
6182	yōu(23)
618B	biē(19)
6190	lián(111)
6191	píng(134)
61A4	fèn(159)
61A7	chōng(10)
61AC	jǐng(10)
61B2	xiàn(56)
61B6	yì(110)
61BE	hàn(21)
61C2	dǒng(377)
61C7	kěn(64)
61C9	yīng(1045) yìng(400) ying(213)
61D2	lǎn(31)
61F2	chéng(15)
61F6	lǎn(31)
61F7	huái(281)
