# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

1F18C;	0070 0061;	missing_NFKC	 # ( 🆌 → pa )	NEGATIVE SQUARED PA → LATIN SMALL LETTER P + LATIN SMALL LETTER A
1F18D;	0073 0061;	missing_NFKC	 # ( 🆍 → sa )	NEGATIVE SQUARED SA → LATIN SMALL LETTER S + LATIN SMALL LETTER A
1F18E;	0061 0062;	missing_NFKC	 # ( 🆎 → ab )	NEGATIVE SQUARED AB → LATIN SMALL LETTER A + LATIN SMALL LETTER B
1F18F;	0077 0063;	missing_NFKC	 # ( 🆏 → wc )	NEGATIVE SQUARED WC → LATIN SMALL LETTER W + LATIN SMALL LETTER C
1F191;	0063 006C;	missing_NFKC	 # ( 🆑 → cl )	SQUARED CL → LATIN SMALL LETTER C + LATIN SMALL LETTER L
1F192;	0063 006F 006F 006C;	missing_NFKC	 # ( 🆒 → cool )	SQUARED COOL → LATIN SMALL LETTER C + LATIN SMALL LETTER O + LATIN SMALL LETTER O + LATIN SMALL LETTER L
1F193;	0066 0072 0065 0065;	missing_NFKC	 # ( 🆓 → free )	SQUARED FREE → LATIN SMALL LETTER F + LATIN SMALL LETTER R + LATIN SMALL LETTER E + LATIN SMALL LETTER E
1F194;	0069 0064;	missing_NFKC	 # ( 🆔 → id )	SQUARED ID → LATIN SMALL LETTER I + LATIN SMALL LETTER D
1F195;	006E 0065 0077;	missing_NFKC	 # ( 🆕 → new )	SQUARED NEW → LATIN SMALL LETTER N + LATIN SMALL LETTER E + LATIN SMALL LETTER W
1F196;	006E 0067;	missing_NFKC	 # ( 🆖 → ng )	SQUARED NG → LATIN SMALL LETTER N + LATIN SMALL LETTER G
1F197;	006F 006B;	missing_NFKC	 # ( 🆗 → ok )	SQUARED OK → LATIN SMALL LETTER O + LATIN SMALL LETTER K
1F198;	0073 006F 0073;	missing_NFKC	 # ( 🆘 → sos )	SQUARED SOS → LATIN SMALL LETTER S + LATIN SMALL LETTER O + LATIN SMALL LETTER S
1F199;	0075 0070 0021;	missing_NFKC	 # ( 🆙 → up! )	SQUARED UP WITH EXCLAMATION MARK → LATIN SMALL LETTER U + LATIN SMALL LETTER P + EXCLAMATION MARK
1F19A;	0076 0073;	missing_NFKC	 # ( 🆚 → vs )	SQUARED VS → LATIN SMALL LETTER V + LATIN SMALL LETTER S
