2F9D1	U+8B8A
2F9D2	U+8C55
2F9D3	U+27CA8
2F9D4	U+8CAB
2F9D5	U+8CC1
2F9D6	U+8D1B
2F9D7	U+8D77
2F9D8	U+27F2F
2F9D9	U+20804
2F9DA	U+8DCB
2F9DB	U+8DBC
2F9DC	U+8DF0
2F9DD	U+208DE
2F9DE	U+8ED4
2F9DF	U+8F38
2F9E0	U+285D2
2F9E1	U+285ED
2F9E2	U+9094
2F9E3	U+90F1
2F9E4	U+9111
2F9E5	U+2872E
2F9E6	U+911B
2F9E7	U+9238
2F9E8	U+92D7
2F9E9	U+92D8
2F9EA	U+927C
2F9EB	U+93F9
2F9EC	U+9415
2F9ED	U+28BFA
2F9EE	U+958B
2F9EF	U+4995
2F9F0	U+95B7
2F9F1	U+28D77
2F9F2	U+49E6
2F9F3	U+96C3
2F9F4	U+5DB2
2F9F5	U+9723
2F9F6	U+29145
2F9F7	U+2921A
2F9F8	U+4A6E
2F9F9	U+4A76
2F9FA	U+97E0
2F9FB	U+2940A
2F9FC	U+4AB2
2F9FD	U+29496
2F9FE..2F9FF	U+980B
2FA00	U+9829
2FA01	U+295B6
2FA02	U+98E2
2FA03	U+4B33
2FA04	U+9929
2FA05	U+99A7
2FA06	U+99C2
2FA07	U+99FE
2FA08	U+4BCE
2FA09	U+29B30
2FA0A	U+9B12
2FA0B	U+9C40
2FA0C	U+9CFD
2FA0D	U+4CCE
2FA0E	U+4CED
2FA0F	U+9D67
2FA10	U+2A0CE
2FA11	U+4CF8
2FA12	U+2A105
2FA13	U+2A20E
2FA14	U+2A291
2FA15	U+9EBB
2FA16	U+4D56
2FA17	U+9EF9
2FA18	U+9EFE
2FA19	U+9F05
2FA1A	U+9F0F
2FA1B	U+9F16
2FA1C	U+9F3B
2FA1D	U+2A600
