22803	061/11;KFP;geng6
22939	061/16;CRP;goe4
22982	061/21;;laan2
22A66	064/02;NQ;zit1
22ACF	064/05;QBU;kam2
22AD5	064/05;QINE;wing1,wing6
22AE8	064/06;QIJ;[ng]ung2
22AEB	064/06;;lat1
22B3F	064/07;QIT;kaai2,kaai5
22B43	064/07;QMRT;dau3,dau6
22B91	064/08;;luk1
22BCA	064/08;QHAI;dik1
22BCE	064/08;QJCK;[ng]aau1
22C38	064/09;QBBR;wo5
22C51	064/09;QJCO;waa2
22C55	064/09;QKSJ;dap6
22C62	064/10;QJBF;saak3
22C88	064/10;QSHE;kik1
22CA1	064/10;QOMQ;laa2,naa1
22CA9	064/09;QVFE;kap1
22CB2	064/10;QIIL;long3
22CB5	064/11;;cou5
22CB7	064/11;QKKB;[ng]aau1
22CB8	064/11;;lou1
22CC2	064/10;QWTJ;bat1,pat1
22CC6	064/11;QGSK;[ng]ou4
22D08	064/11;QHAM;daat3
22D12	064/11;QYRF;paang1
22D44	064/12;QIIA;cou5
22D4C	064/12;QNLO;deoi2
22D53	064/12;;paang1
22D67	064/12;QANA;gaan3
22D8D	064/13;QHKM;saap3
22D9C	064/13;;[ng]ung2
22DA0	064/13;QHFB;saau4
22DA4	064/13;QTJP;loe2
22DAF	064/13;;maan1
22DEE	064/14;QTGI;deoi2
22E51	064/17;;zaang6
22E8B	064/19;TGQ;naan3
22EB3	064/25;QVFI;maan1
22F74	066/08;MOOK;duk1
233B4	001/03;MF;dan2
233F4	075/04;DOMM;jan4
233FE	075/04;DI;dak6/2
23595	075/09;DSTT;peng1
2361A	075/11;DYIJ;seot1
23695	075/12;;jaap3
236BA	075/12;JDISY;hong6/2
239C2	078/03;MNK;laai5
23CB7	085/05;EWE;nap6
23CFC	085/06;EHND;doe4
241A3	086/04;FNHE;saap6
24292	086/08;;luk6
2430D	086/10;FOBG;hok3
244D3	086/19;FWLG;lo3
245C8	091/08;LLYTV;sip3
24674	093/08;HQYAJ;caau1
2472F	094/03;KHNHE;kap6
24DB8	104/07;KSQL;naa1
24DC7	104/08;;wak6,wik6
24DEA	104/08;KNDT;mang2
24E3B	104/09;KVEQ;naa1
24E50	104/10;KMNF;lit3
24EA7	104/12;KCWA;zang2
