69E1	FD41
69E9	9B4C
69F9	FD57
69FA	FCEF
6A03	9CDE
6A0B	FD42
6A0C	986C
6A1A	97F9
6A1C	9558
6A29	87B6
6A2B	985E
6A2C	FE7B
6A2D	94CD
6A33	93EE
6A43	8CA3
6A45	FD5A
6A4C	93F5
6A52	93EF
6A53	8EEA
6A57	8F5B
6A63	8C5E
6A65	8DC6
6A71	8DC8
6A74	8DC7
6A7A	93F7
6A82	8DC9
6A8A	FBF2
6A8F	9670
6A99	8DCB
6A9D	FD5C
6AA7	8F65
6AAB	8DCD
6AB1	9DA8
6AB2	94F9
6AB5	8DCE
6ABE	93EA
6AC8	FD5F
6AC9	93F0
6ACA	9FB6
6AD4	8DCF
6AD8	9763
6AF6	8DD0
6B05	93F1
6B1D	FD62
6B35	FD65
6B52	9FDB
6B57	93F8
6B6F	8BF7
6B74	FD66
6B7A	8BCF
6B81	8DD1
6BC1	8DD2
6BDC	FD71
6BE1	FD6F
6BEA	8DD3
6BFA	9FE7
6C1C	90BD
6C31	9FD0
6C35	8BD0
6C37	FD72
6C39	9CAE
6C3A	8BD1
6C3D	8ADB
6C49	FAE4
6C58	95CE
6C5A	FD76
6C6E	FB62
6C75	8DD4
6C79	FD78
6C7F	8EE3
6C9F	9076
6CA2	98C6
6CAA	8DD5
6CAF	97D1
6CB2	9EB6
6CCB	FAC7
6CCE	A042
6CDF	9873
6CEA	9FFC
6CFF	8CA5
6D02	8DD7
6D05	92FB
6D06	8DD8
6D24	944F
6D26	8DD9
6D4E	896B
6D57	97CE
6D5B	FAF3
6D5C	FDAE
6D71	FBAF
6D72	92B7
6D81	8DDA
6D8F	9C5A
6D96	FDAD
6DA4	8DDC
6DA5	9444
6DB1	8DDD
6DB9	A0D6
6DFE	8C41
6E02	97D5
6E04	944A
6E0A	944D
6E0F	97CB
6E15	8DDE
6E18	8DDF
6E29	8DE0
6E2A	FEF9
6E4F	FDC0
6E50	FCF9
6E57	8CDD
6E59	FB7E
6E76	92B3
6E7C	FDAF
6E86	8DE1
6E8B	95D3
6E9A	89C1
6EB5	FD68
6EB8	9CB7
6EBB	8DE3
6ED9	FAC0
6EDA	8DE5
6EDB	FA64
6EDD	8947
6EE2	8DE4
6EE8	8DE7
6EE9	8DE8
6EFA	FDC7
6F04	FDB0
6F0B	9445
6F0C	97D6
6F16	FCC6
6F17	9844
6F24	8DE9
6F34	8DEA
6F3D	FE50
6F44	FDCC
6F56	9DA7
6F5C	FDCD
6F74	FDCF
6F79	95D2
6F81	8DED
6F8A	FCBA
6F9D	FDC5
6F9F	FDD2
6FB5	9CDC
6FBB	95CF
6FBE	8DEE
6FD3	FDD4
6FD9	96EC
6FDA	96EB
6FF6	90B6
6FF8	FDC3
7003	98AB
701E	96EE
702C	8DF4
704B	FDE0
704D	8C67
7050	8DF6
7054	8DF7
705C	8FFA
7067	97D0
706C	8BD2
706E	87DE
706F	8DF8
7075	90D9
7077	8C47
7079	FAF0
707E	FDE1
707F	8DF9
7081	FDE3
7089	8DFA
708B	FB63
708F	90A6
70A0	9970
70A3	91EB
70A5	9770
70A6	986F
70A7	FDE2
70B9	98F2
70BB	9AFC
70BC	896C
70BD	FDFD
70C0	995E
70C4	95BD
70CC	FDE4
70D0	91E6
70D5	FDE5
70D6	FDE6
70DF	FDE7
70F1	9454
70F5	99B8
70FE	97E9
7105	9346
711D	9863
7129	95BC
712B	FDED
712C	FDF7
7133	9870
7134	96F6
7135	8EA9
713B	9451
713E	8E43
7140	8B5A
7145	FDEE
714A	FDF0
714F	FDF4
7151	9BF5
7157	8CEE
716B	977E
7171	9BD5
7173	9AC3
7175	97C8
7176	A0DB
7177	91D0
717A	9FE4
717C	8FDD
717E	91E9
7188	98E0
718C	92CA
718E	9857
7191	8C51
7196	FDEB
7198	9B49
71A2	9D76
71A3	9EAF
71AD	9CCC
71B4	FDEA
71B7	8DF1
71BA	FDFB
71D1	8E53
71DD	FACF
71EB	96F9
71F5	98BF
71F6	9E49
7200	8CA7
7209	9BCA
720E	FDFE
720F	92DC
7215	FE41
7216	91CC
7217	91E2
7224	FE44
7225	875F
722B	8BD3
722E	FE47
7240	FE48
7250	9455
7255	FE4B
7257	FE4C
725C	8DBF
7266	9E78
7282	FE51
7287	9456
728F	9D61
7294	9457
729F	9966
72AD	8BD5
72B2	A069
72CD	98B4
72E2	A049
7302	A04C
7304	9E65
7310	98B5
7328	FE58
732A	9975
732B	FE53
732C	A065
732E	FE59
7338	98B7
7339	98B8
7341	98BA
7348	98BB
734F	9FBC
7371	A04A
7374	9EC7
738C	8CA9
738F	98AE
7398	92D6
739C	FAE1
739E	91D4
73A7	FADE
73AA	FE5B
73BA	8C53
73C4	87BF
73C9	FE5E
73CE	FBD7
73CF	FE5A
73D0	94C5
73D5	FACA
73E1	98C1
73E2	975C
73E4	FE74
73E6	9773
73EF	FA46
73F3	9764
73F7	FE68
73F9	964E
73FB	9765
7402	8C5A
7411	89A1
7412	95FA
7414	92D4
7415	FE69
7417	FB45
7419	98C8
741C	90EF
741E	98C9
741F	98CA
7437	946D
7438	94B7
7439	FE6C
743C	946B
7443	92FC
7445	95EB
7447	FE73
7448	976E
7449	FE5F
744C	87B8
7453	FDBD
7456	92D5
745D	FEB9
7460	FE71
7461	8778
7465	FBBB
7468	947A
746B	95FB
746C	FE77
7474	FE79
7476	FE75
